school_name,student_id,grade,term_code,bellPeriod1_absences,bellPeriod2_absences,bellPeriod3_absences,bellPeriod4_absences,bellPeriod5_absences,bellPeriod6_absences,total_absences,bellPeriod1_markbook_mark,bellPeriod2_markbook_mark,bellPeriod3_markbook_mark,bellPeriod4_markbook_mark,bellPeriod5_markbook_mark,bellPeriod6_markbook_mark
West High School,DF2PJ1C35,9,Semester 1 Final,20,16,18,15,17,17,103,D,C,A,C,C,C
West High School,8MED60MM6,9,Semester 1 Final,50,11,10,12,10,15,108,B,C,A,C,A,A
West High School,ZCB232N6Q,9,Semester 1 Final,10,4,4,6,10,8,42,A,B,B,B,A,B
West High School,989OKS8ZG,9,Semester 1 Final,8,4,4,2,3,4,25,A,A,A,A,A,A
West High School,J6EM8W29X,9,Semester 1 Final,19,4,7,5,3,3,41,A,D,B,B,C,B
West High School,828VEI1SL,9,Semester 1 Final,47,7,5,7,9,2,77,C,C,D,D,B,B
West High School,V7VA3J5Z8,9,Semester 1 Final,3,3,2,2,2,2,14,A,B,C,B,C,B
West High School,F97BYV2E0,9,Semester 1 Final,9,8,6,6,4,3,36,A,A,A,A,A,A
West High School,J619CJ1QZ,9,Semester 1 Final,14,6,10,11,11,12,64,D,B,C,C,C,A
West High School,F2986JMXC,9,Semester 1 Final,4,5,4,5,5,6,29,B,D,B,B,A,C
West High School,EY4M24ZC5,9,Semester 1 Final,5,10,7,4,8,6,40,C,B,C,B,C,B
West High School,3L9N2OQ3C,9,Semester 1 Final,9,10,10,9,7,23,68,D,D,D,A,B,D
West High School,BNC359SH7,9,Semester 1 Final,6,3,5,15,4,4,37,B,A,C,D,B,B
West High School,9D5M0OW4S,9,Semester 1 Final,1,2,1,8,1,1,14,F,C,C,A,F,D
West High School,BI06LSX25,9,Semester 1 Final,1,1,1,3,5,4,15,A,A,A,A,B,A
West High School,R811VQE1G,9,Semester 1 Final,8,16,9,4,7,8,52,A,A,A,A,A,B
West High School,6DCZ61FD2,9,Semester 1 Final,15,6,8,3,9,8,49,B,C,C,B,B,A
West High School,IQU93XE16,9,Semester 1 Final,13,9,7,15,14,11,69,A,B,A,A,A,A
West High School,7V202WQIH,9,Semester 1 Final,6,6,5,5,8,8,38,A,B,A,A,B,A
West High School,709GVE9EE,9,Semester 1 Final,14,8,8,10,12,6,58,B,A,B,A,B,C
West High School,66WUZG48B,9,Semester 1 Final,10,8,9,5,13,13,58,A,A,A,A,A,A
West High School,OSY1750OL,9,Semester 1 Final,3,3,4,6,6,13,35,B,B,A,C,A,B
